Спортивный объект;Административный округ;Район;Адрес;Ведомсвенная организация;Доступность;Долгота;Широта
Спортивный комплекс дошкольного образовательного учреждения;Юго-Западный административный округ;район Южное Бутово;Старонародная улица, дом 2, корпус 1;Департамент образования и науки города Москвы;Шаговая доступность;37.575643036481196;55.54096334687413
Спортивный комплекс дошкольного образовательного учреждения;Юго-Западный административный округ;район Южное Бутово;1-я Мелитопольская улица, дом 5А;Департамент образования и науки города Москвы;Шаговая доступность;37.57784;55.539268
Спортивный комплекс образовательного учреждения;Юго-Восточный административный округ;район Люблино;Белореченская улица, дом 11;Департамент образования и науки города Москвы;Шаговая доступность;37.77023401398358;55.67228097996955
Спортивный комплекс образовательного учреждения;Западный административный округ;Можайский район;Гжатская улица, дом 6;Департамент образования и науки города Москвы;Шаговая доступность;37.44040844890221;55.71572589662886
Спортивный комплекс дошкольного образовательного учреждения;Западный административный округ;Можайский район;Гродненская улица, дом 7, корпус 1;Департамент образования и науки города Москвы;Шаговая доступность;37.43527461607568;55.71694147779121
Спортивный комплекс дошкольного образовательного учреждения;Центральный административный округ;Таганский район;1-й Котельнический переулок, дом 4, строение 1;Департамент образования и науки города Москвы;Шаговая доступность;37.645779;55.744475
Спортивный комплекс дошкольного образовательного учреждения;Центральный административный округ;Таганский район;Николоямская улица, дом 15, строение 2;Департамент образования и науки города Москвы;Шаговая доступность;37.652968618384975;55.748090435601085
Спортивный комплекс дошкольного образовательного учреждения;Восточный административный округ;район Метрогородок;улица Николая Химушина, дом 13;Департамент образования и науки города Москвы;Шаговая доступность;37.761734;55.823464
Спортивный комплекс дошкольного образовательного учреждения;Восточный административный округ;район Метрогородок;Открытое шоссе, дом 24;Департамент образования и науки города Москвы;Шаговая доступность;37.75688861386506;55.82190609853491
Спортивный комплекс дошкольного образовательного учреждения;Северный административный округ;Войковский район;Ленинградское шоссе, дом 29А;Департамент образования и науки города Москвы;Шаговая доступность;37.486158;55.830311
Спортивный комплекс дошкольного образовательного учреждения;Северо-Восточный административный округ;район Бибирево;улица Корнейчука, дом 42А;Департамент образования и науки города Москвы;Шаговая доступность;37.63021986871704;55.89625209896895
Спортивный комплекс среднего профессионального образовательного учреждения;Восточный административный округ;район Сокольники;Маленковская улица, дом 17;Департамент образования и науки города Москвы;Шаговая доступность;37.67531236441791;55.78785563318012
Спортивный комплекс дошкольного образовательного учреждения;Юго-Восточный административный округ;район Лефортово;Авиамоторная улица, дом 4, корпус 4;Департамент образования и науки города Москвы;Шаговая доступность;37.713734845228615;55.75865323063195
Спортивный комплекс дошкольного образовательного учреждения;Северо-Восточный административный округ;Ярославский район;Ярославское шоссе, дом 26Б, строение 2;Департамент образования и науки города Москвы;Шаговая доступность;37.695373626983326;55.85263605327901
Спортивный комплекс образовательного учреждения;Северо-Восточный административный округ;Ярославский район;Ярославское шоссе, дом 8, корпус 4;Департамент образования и науки города Москвы;Шаговая доступность;37.68757454232785;55.85271968486008
Спортивный комплекс дошкольного образовательного учреждения;Северо-Восточный административный округ;Ярославский район;Ярославское шоссе, дом 8, корпус 5;Департамент образования и науки города Москвы;Шаговая доступность;37.68870827116323;55.853401595135246
Спортивный комплекс дошкольного образовательного учреждения;Северо-Восточный административный округ;Ярославский район;Ярославское шоссе, дом 36, корпус 1;Департамент образования и науки города Москвы;Шаговая доступность;37.698067915343394;55.8620105079047
Спортивный комплекс дошкольного образовательного учреждения;Северо-Восточный административный округ;Ярославский район;Ярославское шоссе, дом 8, корпус 3;Департамент образования и науки города Москвы;Шаговая доступность;37.68659554232726;55.85186938519921
Спортивный комплекс дошкольного образовательного учреждения;Северный административный округ;район Восточное Дегунино;Дубнинская улица, дом 34, корпус 2;Департамент образования и науки города Москвы;Шаговая доступность;37.561643;55.885216
Спортивный комплекс образовательного учреждения;Западный административный округ;район Кунцево;Рублёвское шоссе, дом 24, корпус 4;Департамент образования и науки города Москвы;Шаговая доступность;37.43028561983216;55.74507403019131
Спортивный комплекс дошкольного образовательного учреждения;Западный административный округ;район Кунцево;Рублёвское шоссе, дом 18, корпус 2;Департамент образования и науки города Москвы;Шаговая доступность;37.43269719185232;55.74164068916385
Спортивный комплекс дошкольного образовательного учреждения;Западный административный округ;район Кунцево;Рублёвское шоссе, дом 14, корпус 2;Департамент образования и науки города Москвы;Шаговая доступность;37.437049724654855;55.739679418971434
Спортивный комплекс дошкольного образовательного учреждения;Западный административный округ;район Кунцево;Рублёвское шоссе, дом 87, корпус 2;Департамент образования и науки города Москвы;Шаговая доступность;37.42823720059197;55.73947479214634
Спортивный комплекс образовательного учреждения;Восточный административный округ;район Ивановское;Челябинская улица, дом 5Б;Департамент образования и науки города Москвы;Шаговая доступность;37.822050796271704;55.77824452268796
Спортивный комплекс образовательного учреждения;Южный административный округ;Даниловский район;1-й Павловский переулок, дом 7;Департамент образования и науки города Москвы;Шаговая доступность;37.632197;55.716529
Спортивный комплекс образовательного учреждения;Северный административный округ;район Беговой;улица Нижняя Масловка, дом 5, корпус 4;Департамент образования и науки города Москвы;Шаговая доступность;37.583742;55.790757
Спортивный комплекс образовательного учреждения;Юго-Восточный административный округ;район Кузьминки;Волгоградский проспект, дом 137, корпус 2;Департамент образования и науки города Москвы;Шаговая доступность;37.77503311212083;55.70582779595417
Спортивный комплекс дошкольного образовательного учреждения;Восточный административный округ;район Сокольники;улица Короленко, дом 2А, строение 11;Департамент образования и науки города Москвы;Шаговая доступность;37.68767575463073;55.798274912630326
Спортивный комплекс дошкольного образовательного учреждения;Восточный административный округ;район Сокольники;улица Короленко, дом 2А, строение 10;Департамент образования и науки города Москвы;Шаговая доступность;37.68472809325401;55.79762233600619
Спортивный комплекс дошкольного образовательного учреждения;Центральный административный округ;район Хамовники;Кооперативная улица, дом 2, корпус 13;Департамент образования и науки города Москвы;Шаговая доступность;37.566072533728494;55.72495963246656
Спортивный комплекс дошкольного образовательного учреждения;Центральный административный округ;район Хамовники;улица Хамовнический Вал, дом 28, строение 2;Департамент образования и науки города Москвы;Шаговая доступность;37.56791614847919;55.72085991634577
Спортивный комплекс образовательного учреждения;Восточный административный округ;район Измайлово;Верхняя Первомайская улица, дом 57А;Департамент образования и науки города Москвы;Шаговая доступность;37.802221;55.8006
Спортивный комплекс дошкольного образовательного учреждения;Восточный административный округ;район Измайлово;5-я Парковая улица, дом 50А;Департамент образования и науки города Москвы;Шаговая доступность;37.7893824490735;55.801454885554215
Спортивный комплекс дошкольного образовательного учреждения;Восточный административный округ;район Измайлово;5-я Парковая улица, дом 46А;Департамент образования и науки города Москвы;Шаговая доступность;37.78937965277842;55.80031084832378
Спортивный комплекс дошкольного образовательного учреждения;Северо-Западный административный округ;район Щукино;улица Расплетина, дом 34;Департамент образования и науки города Москвы;Шаговая доступность;37.48365654232759;55.79680535706
Спортивный комплекс образовательного учреждения;Юго-Западный административный округ;Гагаринский район;улица Фотиевой, дом 14, корпус 2;Департамент образования и науки города Москвы;Шаговая доступность;37.557978;55.699538
Дворовая территория;Северо-Восточный административный округ;Ярославский район;Ярославское шоссе, дом 121;Управа Ярославского района города Москвы;Шаговая доступность;37.71398321957394;55.87408630412015
Спортивный комплекс образовательного учреждения «Пансион воспитанниц Министерства обороны Российской Федерации»;Северный административный округ;Хорошёвский район;улица Поликарпова, дом 21, корпус 2;Министерство обороны Российской Федерации;Шаговая доступность;37.546057;55.778674
Дворовая территория;Юго-Восточный административный округ;район Марьино;Донецкая улица, дом 15;Управа района Марьино города Москвы;Шаговая доступность;37.717842;55.649312
Дворовая территория;Юго-Восточный административный округ;район Марьино;улица Верхние Поля, дом 38, корпус 1;Управа района Марьино города Москвы;Шаговая доступность;37.77081864482995;55.6664420618591
Дворовая территория;Северо-Восточный административный округ;Ярославский район;улица Вешних Вод, дом 2, корпус 2;Управа Ярославского района города Москвы;Шаговая доступность;37.69809109192656;55.8571799999936
Дворовая территория;Юго-Восточный административный округ;район Люблино;Новороссийская улица, дом 30, корпус 1;Управа района Люблино города Москвы;Шаговая доступность;37.758130792747586;55.670859823295416
Дворовая территория;Западный административный округ;Можайский район;Беловежская улица, дом 37;Управа Можайского района города Москвы;Шаговая доступность;37.393317;55.711432
Дворовая территория;Юго-Западный административный округ;район Зюзино;Болотниковская улица, дом 36, корпус 1;Управа района Зюзино города Москвы;Шаговая доступность;37.591728;55.660556
Дворовая территория;Юго-Западный административный округ;район Коньково;улица Введенского, дом 26;Управа района Коньково города Москвы;Шаговая доступность;37.534352;55.635716
Дворовая территория;Западный административный округ;район Кунцево;улица Академика Павлова, дом 48;Управа района Кунцево города Москвы;Шаговая доступность;37.409011;55.746117
Дворовая территория;Западный административный округ;район Филёвский Парк;улица Барклая, дом 16, корпус 2;Управа района Филевский парк города Москвы;Шаговая доступность;37.497683;55.745716
Дворовая территория;Северо-Восточный административный округ;район Южное Медведково;Заповедная улица, дом 16, корпус 2, сооружение 2;Управа района Южное Медведково города Москвы;Шаговая доступность;37.636467580131516;55.86852416686566
Дворовая территория;Восточный административный округ;район Новокосино;Новокосинская улица, дом 45;Управа района Новокосино города Москвы;Шаговая доступность;37.87177910118863;55.743932885275655
Дворовая территория;Восточный административный округ;район Новокосино;Салтыковская улица, дом 11, корпус 2;Управа района Новокосино города Москвы;Шаговая доступность;37.86149429629517;55.735956853448776
Дворовая территория;Восточный административный округ;район Новокосино;улица Николая Старостина, дом 13;Управа района Новокосино города Москвы;Шаговая доступность;37.857251743240575;55.73156452817193
Дворовая территория;Юго-Западный административный округ;район Черёмушки;Перекопская улица, дом 30, корпус 1;Управа района Черемушки города Москвы;Шаговая доступность;37.569962;55.663217
Дворовая территория;Юго-Западный административный округ;район Коньково;Профсоюзная улица, дом 111, корпус 1;Управа района Коньково города Москвы;Шаговая доступность;37.5212273521843;55.632256234861266
Дворовая территория;Юго-Восточный административный округ;район Некрасовка;улица Недорубова, дом 5;Управа района Некрасовка города Москвы;Шаговая доступность;37.929953;55.700075
Дворовая территория;Юго-Западный административный округ;район Ясенево;Литовский бульвар, дом 3, корпус 2;Управа района Ясенево города Москвы;Шаговая доступность;37.53561;55.617195
Дворовая территория;Юго-Западный административный округ;район Ясенево;улица Айвазовского, дом 2;Управа района Ясенево города Москвы;Шаговая доступность;37.54077630919205;55.6188169435279
Дворовая территория;Юго-Западный административный округ;район Ясенево;Соловьиный проезд, дом 8;Управа района Ясенево города Москвы;Шаговая доступность;37.549777;55.614358
Дворовая территория;Юго-Западный административный округ;район Ясенево;Соловьиный проезд, дом 14;Управа района Ясенево города Москвы;Шаговая доступность;37.554124;55.606894
Дворовая территория;Юго-Западный административный округ;район Ясенево;Голубинская улица, дом 32/2;Управа района Ясенево города Москвы;Шаговая доступность;37.544449;55.594489
Дворовая территория;Юго-Восточный административный округ;район Люблино;улица Головачёва, дом 25;Управа района Люблино города Москвы;Шаговая доступность;37.819038;55.673082
Дворовая территория;Юго-Восточный административный округ;район Люблино;Ставропольская улица, дом 52, корпус 1;Управа района Люблино города Москвы;Шаговая доступность;37.766486;55.681356
Дворовая территория;Юго-Западный административный округ;Академический район;улица Винокурова, дом 3;Управа Академического района города Москвы;Шаговая доступность;37.58318982076261;55.689640521024984
Дворовая территория;Юго-Восточный административный округ;район Лефортово;Энергетическая улица, дом 12, корпус 2;Управа района Лефортово города Москвы;Шаговая доступность;37.706577;55.758894
Дворовая территория;Южный административный округ;район Зябликово;улица Мусы Джалиля, дом 15, корпус 1;Управа района Зябликово города Москвы;Шаговая доступность;37.743633;55.625333
Дворовая территория;Южный административный округ;район Зябликово;Шипиловская улица, дом 44/27;Управа района Зябликово города Москвы;Шаговая доступность;37.732997;55.621236
дворовая территория;Южный административный округ;Нагорный район;Варшавское шоссе, дом 64, корпус 1;Управа Нагорного района города Москвы;Шаговая доступность;37.618686;55.660617
Дворовая территория;Южный административный округ;Нагорный район;Варшавское шоссе, дом 60;Управа Нагорного района города Москвы;Шаговая доступность;37.618686;55.662034
Дворовая территория;Южный административный округ;район Зябликово;Ореховый бульвар, дом 51, корпус 2;Управа района Зябликово города Москвы;Шаговая доступность;37.749073871688786;55.6185842314919
Дворовая территория;Южный административный округ;район Чертаново Южное;улица Академика Янгеля, дом 3, корпус 2;Управа района Чертаново Южное города Москвы;Шаговая доступность;37.596183;55.593736
Дворовая территория;Южный административный округ;Даниловский район;2-й Кожуховский проезд, дом 23;Управа Даниловского района города Москвы;Шаговая доступность;37.65795778406109;55.701907042045164
Дворовая территория;Южный административный округ;район Бирюлёво Западное;Харьковский проезд, дом 5А, строение 2;Управа района Бирюлево Западное города Москвы;Шаговая доступность;37.643659;55.594524
Дворовая территория;Южный административный округ;район Нагатино-Садовники;Нагатинская набережная, дом 10;Управа района Нагатино-Садовники города Москвы;Шаговая доступность;37.64084673893263;55.682665926704544
Дворовая территория;Южный административный округ;район Орехово-Борисово Северное;Каширское шоссе, дом 84, корпус 1;Управа района Орехово-Борисово Северное города Москвы;Шаговая доступность;37.708338;55.623473
Дворовая территория;Южный административный округ;район Орехово-Борисово Северное;Каширское шоссе, дом 88/26;Управа района Орехово-Борисово Северное города Москвы;Шаговая доступность;37.71218388954924;55.61883045269002
Дворовая территория;Юго-Западный административный округ;Академический район;улица Ивана Бабушкина, дом 10;Управа Академического района города Москвы;Шаговая доступность;37.56164281216429;55.6875593390297
Дворовая территория «Жилищный комплекс «Дом на Вавилова»;Юго-Западный административный округ;Академический район;улица Дмитрия Ульянова, дом 6, корпус 1;Префектура Юго-Западного административного округа города Москвы;Шаговая доступность;37.56092213359066;55.6888617578263
Дворовая территория;Юго-Западный административный округ;Ломоносовский район;улица Академика Пилюгина, дом 14, корпус 3;Управа Ломоносовского района города Москвы;Шаговая доступность;37.534083;55.671006
Дворовая территория;Южный административный округ;район Зябликово;улица Мусы Джалиля, дом 27, корпус 1;Управа района Зябликово города Москвы;Шаговая доступность;37.74753106018823;55.619206737438006
Дворовая территория;Южный административный округ;район Зябликово;улица Мусы Джалиля, дом 40;Управа района Зябликово города Москвы;Шаговая доступность;37.742483;55.616351
Дворовая территория;Южный административный округ;район Зябликово;Ореховый проезд, дом 35, корпус 1;Управа района Зябликово города Москвы;Шаговая доступность;37.73262989947509;55.618772719879196
Дворовая территория;Южный административный округ;район Зябликово;Шипиловская улица, дом 62/1;Управа района Зябликово города Москвы;Шаговая доступность;37.752014;55.621994
Дворовая территория;Южный административный округ;район Зябликово;Шипиловская улица, дом 55, корпус 1;Управа района Зябликово города Москвы;Шаговая доступность;37.748223;55.623158
Дворовая территория;Юго-Западный административный округ;район Коньково;улица Бутлерова, дом 3;Управа района Коньково города Москвы;Шаговая доступность;37.52326048808288;55.65483927573219
Дворовая территория;Юго-Западный административный округ;район Коньково;улица Бутлерова, дом 4, корпус 1;Управа района Коньково города Москвы;Шаговая доступность;37.525029557216634;55.65246859206519
Дворовая территория;Юго-Западный административный округ;район Коньково;Профсоюзная улица, дом 92;Управа района Коньково города Москвы;Шаговая доступность;37.527990435511974;55.64921416923492
Дворовая территория;Западный административный округ;район Проспект Вернадского;Ленинский проспект, дом 128, корпус 1;Управа района Проспект Вернадского города Москвы;Шаговая доступность;37.510511;55.666675
Дворовая территория;Западный административный округ;район Проспект Вернадского;улица Лобачевского, дом 6;Управа района Проспект Вернадского города Москвы;Шаговая доступность;37.506756;55.666233
Дворовая территория;Западный административный округ;район Раменки;Мичуринский проспект, дом 19, корпус 3;Управа района Раменки города Москвы;Шаговая доступность;37.507124;55.696534
Дворовая территория;Западный административный округ;район Тропарёво-Никулино;улица Коштоянца, дом 20, корпус 3;Управа района Тропарево-Никулино города Москвы;Шаговая доступность;37.476824;55.675575
Дворовая территория;Юго-Восточный административный округ;район Выхино-Жулебино;Жулебинский бульвар, дом 15;Управа района Выхино-Жулебино города Москвы;Шаговая доступность;37.851583;55.695641
Дворовая территория;Западный административный округ;район Раменки;Мосфильмовская улица, дом 8;Управа района Раменки города Москвы;Шаговая доступность;37.526346818771344;55.72390940980611
Дворовая территория;Юго-Восточный административный округ;район Выхино-Жулебино;Рязанский проспект, дом 76/2;Управа района Выхино-Жулебино города Москвы;Шаговая доступность;37.81594752746891;55.71119396024203
Дворовая территория;Западный административный округ;район Раменки;улица Столетова, дом 17;Управа района Раменки города Москвы;Шаговая доступность;37.49872070304063;55.701843848595004
Дворовая территория;Западный административный округ;район Раменки;Мосфильмовская улица, дом 53;Управа района Раменки города Москвы;Шаговая доступность;37.496442261404994;55.70407967161581
Дворовая территория;Западный административный округ;район Фили-Давыдково;Кременчугская улица, дом 17;Префектура Западного административного округа города Москвы;Шаговая доступность;37.464005;55.71664
Дворовая территория;Западный административный округ;Можайский район;Беловежская улица, дом 17, корпус 2;Управа Можайского района города Москвы;Шаговая доступность;37.39524447963422;55.71400469229581
Дворовая территория;Западный административный округ;Можайский район;Беловежская улица, дом 83;Управа Можайского района города Москвы;Шаговая доступность;37.399048;55.705452
Дворовая территория;Западный административный округ;район Очаково-Матвеевское;Озёрная улица, дом 2, корпус 2;Управа района Очаково-Матвеевское города Москвы;Шаговая доступность;37.470123;55.689096
Дворовая территория;Западный административный округ;район Очаково-Матвеевское;Озёрная улица, дом 4, корпус 2;Управа района Очаково-Матвеевское города Москвы;Шаговая доступность;37.465781136245724;55.68729550201197
Дворовая территория;Северо-Западный административный округ;район Хорошёво-Мнёвники;улица Демьяна Бедного, дом 5;Управа района Хорошево-Мневники города Москвы;Шаговая доступность;37.48702345767174;55.77282867756827
Дворовая территория;Северо-Западный административный округ;район Хорошёво-Мнёвники;улица Мнёвники, дом 23;Управа района Хорошево-Мневники города Москвы;Шаговая доступность;37.47943722719175;55.77403408513736
Дворовая территория;Юго-Восточный административный округ;Рязанский район;Саратовская улица, дом 24;Управа Рязанского района города Москвы;Шаговая доступность;37.749463;55.717452
Дворовая территория;Северо-Западный административный округ;район Хорошёво-Мнёвники;улица Саляма Адиля, дом 2, корпус 1;Управа района Хорошево-Мневники города Москвы;Шаговая доступность;37.467499949737054;55.7744190780229
Дворовая территория;Юго-Восточный административный округ;Рязанский район;Окская улица, дом 5, корпус 1, строение 1;Управа Рязанского района города Москвы;Шаговая доступность;37.757701;55.713806
Дворовая территория;Западный административный округ;район Филёвский Парк;Филёвский бульвар, дом 1;Управа района Филевский парк города Москвы;Шаговая доступность;37.49438999140104;55.76455121802333
Дворовая территория;Западный административный округ;район Филёвский Парк;2-я Филёвская улица, дом 8;Управа района Филевский парк города Москвы;Шаговая доступность;37.493084;55.737208
Дворовая территория;Западный административный округ;район Крылатское;Рублёвское шоссе, дом 36, корпус 2;Управа района Крылатское города Москвы;Шаговая доступность;37.418137;55.749881
Дворовая территория;Западный административный округ;район Кунцево;Бобруйская улица, дом 10, корпус 1;Управа района Кунцево города Москвы;Шаговая доступность;37.40363381349144;55.73653760453031
Дворовая территория;Западный административный округ;район Кунцево;Ярцевская улица, дом 14;Управа района Кунцево города Москвы;Шаговая доступность;37.41230723809805;55.73788881101801
Дворовая территория;Западный административный округ;район Кунцево;Партизанская улица, дом 22;Управа района Кунцево города Москвы;Шаговая доступность;37.41302654365536;55.734236558073704
Дворовая территория;Западный административный округ;район Кунцево;Ельнинская улица, дом 20, корпус 1;Управа района Кунцево города Москвы;Шаговая доступность;37.422845;55.738845
Дворовая территория;Западный административный округ;район Кунцево;Рублёвское шоссе, дом 81, корпус 1;Управа района Кунцево города Москвы;Шаговая доступность;37.43072561838431;55.73834964517454
Дворовая территория;Западный административный округ;район Кунцево;Кунцевская улица, дом 2/7, строение 2;Управа района Кунцево города Москвы;Шаговая доступность;37.42257189814691;55.731520729232365
Дворовая территория;Северо-Восточный административный округ;район Северное Медведково;улица Грекова, дом 5;Управа района Северное Медведково города Москвы;Шаговая доступность;37.659926762306476;55.88986465980281
Дворовая территория;Северо-Восточный административный округ;район Северное Медведково;проезд Шокальского, дом 24;Управа района Северное Медведково города Москвы;Шаговая доступность;37.64851;55.879864
Дворовая территория;Северо-Восточный административный округ;район Северное Медведково;Студёный проезд, дом 38, корпус 1, строение 1;Управа района Северное Медведково города Москвы;Шаговая доступность;37.67180066004936;55.89128435513502
Дворовая территория;Северо-Восточный административный округ;район Северное Медведково;улица Молодцова, дом 2, корпус 2, строение 1;Управа района Северное Медведково города Москвы;Шаговая доступность;37.643703996364614;55.878975554290406
Дворовая территория;Северо-Западный административный округ;район Щукино;улица Маршала Василевского, дом 17;Управа района Щукино города Москвы;Шаговая доступность;37.461826155746756;55.80866017256592
Дворовая территория;Северо-Западный административный округ;район Хорошёво-Мнёвники;улица Маршала Тухачевского, дом 55;Управа района Хорошево-Мневники города Москвы;Шаговая доступность;37.45824580489284;55.783757428816656
Дворовая территория;Северо-Западный административный округ;район Хорошёво-Мнёвники;улица Генерала Глаголева, дом 19;Управа района Хорошево-Мневники города Москвы;Шаговая доступность;37.462893970568906;55.78487243129476
Дворовая территория;Северо-Восточный административный округ;район Северное Медведково;Полярная улица, дом 54, корпус 1;Управа района Северное Медведково города Москвы;Шаговая доступность;37.64745;55.891456
Дворовая территория;Центральный административный округ;Таганский район;Рабочая улица, дом 33;Управа Таганского района города Москвы;Шаговая доступность;37.685835;55.742321
Дворовая территория;Северо-Западный административный округ;район Строгино;улица Исаковского, дом 26, корпус 2;Управа района Строгино города Москвы;Шаговая доступность;37.415134997698054;55.808549120678265
Дворовая территория;Северо-Западный административный округ;район Строгино;улица Маршала Катукова, дом 22, корпус 1;Управа района Строгино города Москвы;Шаговая доступность;37.408454;55.804769
Дворовая территория;Северо-Западный административный округ;район Строгино;Строгинский бульвар, дом 4, корпус 1;Управа района Строгино города Москвы;Шаговая доступность;37.395158;55.804263
