Спортивный объект;Административный округ;Район;Адрес;Ведомсвенная организация;Доступность;Долгота;Широта
Дворовая территория;;;Матвеевская улица, дом 10, корпус 3;Префектура Западного административного округа города Москвы;Шаговая доступность;37.471689;55.704369
Дворовая территория;;;Люблинская улица, дом 119;Префектура Юго-Восточного административного округа города Москвы;Шаговая доступность;37.740249;55.675614
Дворовая территория;Западный административный округ;район Очаково-Матвеевское;Матвеевская улица, дом 10, корпус 2, строение 2;Префектура Западного административного округа города Москвы;Шаговая доступность;37.472522979405895;55.70453884788216
Дворовая территория;;;Люблинская улица, дом 113, корпус 3;Префектура Юго-Восточного административного округа города Москвы;Шаговая доступность;37.741062;55.678776
Дворовая территория;;;Ставропольская улица, дом 9А;Префектура Юго-Восточного административного округа города Москвы;Шаговая доступность;37.743782;55.681279
Дворовая территория;;;Нежинская улица, дом 1, корпус 1, строение 2;Префектура Западного административного округа города Москвы;Шаговая доступность;37.478983;55.718986
Дворовая территория;;;Веерная улица, дом 40, корпус 2, строение 1;Префектура Западного административного округа города Москвы;Шаговая доступность;37.483675;55.712649
Дворовая территория;;;Веерная улица, дом 7, корпус 1;Управа района Очаково-Матвеевское города Москвы;Шаговая доступность;37.474664;55.709741
Дворовая территория;;;Матвеевская улица, дом 42, корпус 2;Управа района Очаково-Матвеевское города Москвы;Шаговая доступность;37.459704;55.706812
Дворовая территория;;;улица Довженко, дом 6;Префектура Западного административного округа города Москвы;Шаговая доступность;37.514432;55.722045
Дворовая территория;;;Мосфильмовская улица, дом 30;Префектура Западного административного округа города Москвы;Шаговая доступность;37.522351;55.721119
Дворовая территория;;;Люблинская улица, дом 54, строение 2;Управа района Люблино города Москвы;Шаговая доступность;37.736509;55.677432
Дворовая территория;;;Мичуринский проспект, дом 6, корпус 4;Префектура Западного административного округа города Москвы;Шаговая доступность;37.525244;55.713773
Дворовая территория;;;город Зеленоград, корпус 2307А;Префектура Зеленоградского административного округа города Москвы;Шаговая доступность;37.190428;55.965456
Дворовая территория;;;Перервинский бульвар, дом 27, корпус 2;Управа района Марьино города Москвы;Шаговая доступность;37.775515;55.655243
Дворовая территория;;;улица Марьинский Парк, дом 3, корпус 2;Управа района Марьино города Москвы;Шаговая доступность;37.775724;55.655878
Дворовая территория;;;Малинская улица, дом 48А, строение 1Б/Н;Префектура Зеленоградского административного округа города Москвы;Шаговая доступность;37.193554747993446;55.965785517534535
Дворовая территория;;;город Зеленоград, корпус 2301;Префектура Зеленоградского административного округа города Москвы;Шаговая доступность;37.188338;55.970058
Дворовая территория;Северо-Западный административный округ;район Щукино;Живописная улица, дом 54А;Префектура Северо-Западного административного округа города Москвы;Шаговая доступность;37.45123359835991;55.80368870043737
Дворовая территория;;;Авиационная улица, дом 79, корпус 1;Префектура Северо-Западного административного округа города Москвы;Шаговая доступность;37.44989079950769;55.806660637056844
Дворовая территория;;;Волоколамское шоссе, дом 45;Префектура Северо-Западного административного округа города Москвы;Шаговая доступность;37.46847506878597;55.81424313501465
Дворовая территория;;;Мосфильмовская улица, дом 6;Префектура Западного административного округа города Москвы;Шаговая доступность;37.530476;55.724733
Дворовая территория;;;Мосфильмовская улица, дом 2В;Префектура Западного административного округа города Москвы;Шаговая доступность;37.532236;55.725724
Дворовая территория;;;улица Пудовкина, дом 7;Префектура Западного административного округа города Москвы;Шаговая доступность;37.528395;55.726402
Дворовая территория;Юго-Западный административный округ;район Зюзино;улица Каховка, дом 6, строение 1;Префектура Юго-Западного административного округа города Москвы;Шаговая доступность;37.587428;55.652998
Дворовая территория;;;Пятницкое шоссе, дом 47;Управа района Митино города Москвы;Шаговая доступность;37.346154093253766;55.85931186297612
Дворовая территория;;;Георгиевский проспект, дом 5;Префектура Зеленоградского административного округа города Москвы;Шаговая доступность;37.150646;55.966912
Дворовая территория;;;Мосфильмовская улица, дом 88, корпус 2, строение 1;Управа района Раменки города Москвы;Шаговая доступность;37.491503;55.705346
Дворовая территория;;;проспект Вернадского, дом 54;Управа района Проспект Вернадского города Москвы;Шаговая доступность;37.494933;55.673767
Дворовая территория;;;Георгиевский проспект, дом 5, строение 1;Префектура Зеленоградского административного округа города Москвы;Шаговая доступность;37.15039119014358;55.968294449977414
Дворовая территория;;;улица Марьинский Парк, дом 19, корпус 2;Управа района Марьино города Москвы;Шаговая доступность;37.779494;55.663222
Дворовая территория;;;Белореченская улица, дом 41, корпус 2;Управа района Марьино города Москвы;Шаговая доступность;37.773766;55.663778
Дворовая территория;;;город Зеленоград, корпус 1807А;Префектура Зеленоградского административного округа города Москвы;Шаговая доступность;37.16408818154526;55.97974144263677
Дворовая территория;;;улица Перерва, дом 59;Управа района Марьино города Москвы;Шаговая доступность;37.764282;55.666149
Дворовая территория;;;улица Перерва, дом 57;Управа района Марьино города Москвы;Шаговая доступность;37.763018;55.665721
Дворовая территория;;;улица Перерва, дом 55;Управа района Марьино города Москвы;Шаговая доступность;37.761891;55.665251
Дворовая территория;;;улица Верхние Поля, дом 36, корпус 2;Управа района Марьино города Москвы;Шаговая доступность;37.764148;55.667253
Дворовая территория;;;Братиславская улица, дом 14, сооружение 1;Управа района Марьино города Москвы;Шаговая доступность;37.754373;55.659228
Дворовая территория;;;город Зеленоград, корпус 1505;Префектура Зеленоградского административного округа города Москвы;Шаговая доступность;37.151021;55.982533
Дворовая территория;;;город Зеленоград, корпус 1430;Префектура Зеленоградского административного округа города Москвы;Шаговая доступность;37.151629;55.988550
Дворовая территория;;;улица Маршала Бирюзова, дом 28;Префектура Северо-Западного административного округа города Москвы;Шаговая доступность;37.48652124536859;55.79748885483531
Дворовая территория;;;Вешняковская улица, дом 27, корпус 5;Управа района Вешняки города Москвы;Шаговая доступность;37.832930002307194;55.725890580432306
Дворовая территория;Восточный административный округ;район Вешняки;Косинская улица, дом 6, корпус 1;Управа района Вешняки города Москвы;Шаговая доступность;37.835018;55.726852
Дворовая территория;;;Косинская улица, дом 16, корпус 3;Управа района Вешняки города Москвы;Шаговая доступность;37.83444412037578;55.72225982653956
Дворовая территория;;;улица Молдагуловой, дом 6;Управа района Вешняки города Москвы;Шаговая доступность;37.811011;55.727145
Спортивный комплекс образовательного учреждения;;;улица Молдагуловой, дом 20А;Департамент образования и науки города Москвы;Шаговая доступность;37.819532;55.720895
Дворовая территория;;;Авиационная улица, дом 68;Префектура Северо-Западного административного округа города Москвы;Шаговая доступность;37.457040626699;55.81005884686495
